Year,Mission,Accident,Illness,Malicious Act,Other,Total
1948,UNTSO,2,,6,,8
1949,UNSCOB,2,,,,2
1949,UNTSO,,1,,,1
1950,UNMOGIP,4,,,,4
1950,UNTSO,1,,,,1
1952,UNTSO,,,1,,1
1953,UNMOGIP,1,,,,1
1956,UNEF,1,,,,1
1956,UNTSO,,,1,,1
1957,UNEF,9,1,5,1,16
1958,UNEF,13,3,,,16
1958,UNTSO,,,1,,1
1959,UNEF,3,4,1,2,10
1960,ONUC,13,6,16,,35
1960,UNEF,6,3,,,9
1961,ONUC,29,7,104,1,141
1961,UNEF,5,3,1,1,10
1961,UNSecretariat,4,,,,4
1962,ONUC,11,19,9,1,40
1962,UNEF,2,2,,1,5
1963,ONUC,15,8,6,1,30
1963,UNEF,2,1,,1,4
1964,ONUC,2,,,1,3
1964,UNEF,6,,2,1,9
1964,UNFICYP,3,4,3,,10
1965,UNEF,3,2,,,5
1965,UNFICYP,6,3,1,2,12
1966,UNEF,6,1,,,7
1966,UNFICYP,9,3,,1,13
1966,UNMOGIP,,1,,,1
1967,UNEF,1,,11,,12
1967,UNFICYP,4,1,,1,6
1967,UNTSO,1,,2,,3
1968,UNFICYP,4,2,,1,7
1969,UNFICYP,3,1,,1,5
1969,UNTSO,,,1,,1
1970,UNFICYP,5,1,,,6
1970,UNTSO,,,2,,2
1971,UNFICYP,6,1,,,7
1971,UNTSO,,2,,,2
1972,UNFICYP,4,2,,,6
1973,UNEF,1,1,,,2
1973,UNFICYP,6,3,,,9
1973,UNTSO,,,3,,3
1974,UNDOF,,,4,,4
1974,UNEF,4,,15,1,20
1974,UNFICYP,2,4,9,2,17
1975,UNDOF,,1,,,1
1975,UNEF,6,,,,6
1975,UNFICYP,5,3,1,,9
1975,UNTSO,1,,,,1
1976,UNDOF,1,1,,,2
1976,UNEF,6,3,,,9
1976,UNFICYP,1,1,,1,3
1977,UNDOF,1,1,1,1,4
1977,UNEF,4,,,2,6
1977,UNFICYP,2,1,,2,5
1977,UNTSO,1,1,,,2
1978,UNDOF,5,1,,,6
1978,UNEF,3,1,,,4
1978,UNFICYP,1,,,,1
1978,UNIFIL,6,1,9,,16
1978,UNTSO,1,,,,1
1979,UNDOF,,,,1,1
1979,UNEF,4,3,,1,8
1979,UNFICYP,2,1,,1,4
1979,UNIFIL,9,1,8,,18
1980,UNDOF,1,,,,1
1980,UNEF,1,,,,1
1980,UNFICYP,,1,,1,2
1980,UNIFIL,6,5,4,1,16
1981,UNDOF,1,,,,1
1981,UNFICYP,3,3,1,,7
1981,UNIFIL,10,2,10,1,23
1982,UNDOF,,,,1,1
1982,UNFICYP,1,1,,1,3
1982,UNIFIL,8,1,8,,17
1982,UNTSO,,,5,,5
1983,UNFICYP,1,,,1,2
1983,UNIFIL,4,2,3,1,10
1984,UNFICYP,6,1,,1,8
1984,UNIFIL,5,,1,,6
1985,UNDOF,1,,,,1
1985,UNFICYP,2,,,1,3
1985,UNIFIL,6,3,3,,12
1986,UNFICYP,2,,,,2
1986,UNIFIL,6,4,13,1,24
1986,UNTSO,1,,,,1
